duration,pE,pN,pR,rwkesr2,spanel
1,.5281774,.1504481,.3777293,3,1996
1,.5468071,.1518154,.3949917,3,2001
1,.5247206,.1283688,.3963518,3,2004
1,.5017987,.116253,.3855457,3,2008
2,.486509,.1568618,.3296472,3,1996
2,.4879563,.1350186,.3529378,3,2001
2,.4748997,.1387539,.3361458,3,2004
2,.4246129,.1089884,.3156245,3,2008
3,.4210096,.1327128,.2882968,3,1996
3,.4726545,.1534637,.3191907,3,2001
3,.451522,.107554,.343968,3,2004
3,.3446721,.0972027,.2474694,3,2008
4,.6419638,.3150702,.3268937,3,1996
4,.6813775,.3228716,.3585059,3,2001
4,.7349507,.345236,.3897147,3,2004
4,.5963836,.2280837,.3683,3,2008
5,.4040463,.1390155,.2650308,3,1996
5,.4118531,.1043826,.3074705,3,2001
5,.4626955,.159332,.3033635,3,2004
5,.362379,.1600068,.2023722,3,2008
6,.3260734,.1815696,.1445038,3,1996
6,.4452226,.0795527,.3656698,3,2001
6,.4712587,.1258601,.3453986,3,2004
6,.313613,.1667383,.1468747,3,2008
7,.3442742,.2145915,.1296827,3,1996
7,.1287873,.0413728,.0874145,3,2001
7,.5455387,.3408965,.2046422,3,2004
7,.3563658,.1824662,.1738996,3,2008
8,.678642,.5014018,.1772403,3,1996
8,.6983662,.5353901,.1629761,3,2001
8,.4783804,.2811222,.1972582,3,2004
8,.5266166,.3337435,.1928731,3,2008
1,.3719574,.3453209,.0266365,4,1996
1,.3057744,.2818938,.0238806,4,2001
1,.3754952,.3462103,.0292849,4,2004
1,.2403201,.2232224,.0170977,4,2008
2,.3196833,.308795,.0108882,4,1996
2,.302632,.2925072,.0101249,4,2001
2,.3197486,.3022332,.0175154,4,2004
2,.2336931,.2289218,.0047713,4,2008
3,.3635289,.3615557,.0019733,4,1996
3,.3049339,.3005976,.0043363,4,2001
3,.324077,.3129178,.0111591,4,2004
3,.2294349,.22837,.0010649,4,2008
4,.4182959,.396976,.0213199,4,1996
4,.4438035,.428449,.0153545,4,2001
4,.4813496,.4756431,.0057065,4,2004
4,.3157481,.3130212,.0027268,4,2008
5,.3588897,.3588897,0,4,1996
5,.2454134,.2405642,.0048493,4,2001
5,.3229507,.3229507,0,4,2004
5,.1954964,.1945827,.0009137,4,2008
6,.3576712,.3576712,0,4,1996
6,.2502052,.2502052,0,4,2001
6,.2996345,.2987123,.0009222,4,2004
6,.2242011,.2242011,0,4,2008
7,.3305185,.3305185,0,4,1996
7,.3044536,.3044536,0,4,2001
7,.3082874,.3060401,.0022473,4,2004
7,.2192698,.2192698,0,4,2008
8,.2983288,.2983288,0,4,1996
8,.4225502,.4225502,0,4,2001
8,.4850575,.4850575,0,4,2004
8,.2966963,.2966963,0,4,2008
