duration,pE,pN,pR,rwkesr2,srefmonA
1,.4889475,.2444738,.2444738,3,1
2,.4889475,.2444738,.2444738,3,1
3,.4889475,.2444738,.2444738,3,1
4,.4889475,.2444738,.2444738,3,1
5,.4889475,.2444738,.2444738,3,1
6,.4889475,.2444738,.2444738,3,1
7,.4889475,.2444738,.2444738,3,1
8,.4889475,.2444738,.2444738,3,1
1,.4889475,.2444738,.2444738,3,2
2,.4889475,.2444738,.2444738,3,2
3,.4889475,.2444738,.2444738,3,2
4,.4889475,.2444738,.2444738,3,2
5,.4889475,.2444738,.2444738,3,2
6,.4889475,.2444738,.2444738,3,2
7,.4889475,.2444738,.2444738,3,2
8,.4889475,.2444738,.2444738,3,2
1,.4889475,.2444738,.2444738,3,3
2,.4889475,.2444738,.2444738,3,3
3,.4889475,.2444738,.2444738,3,3
4,.4889475,.2444738,.2444738,3,3
5,.4889475,.2444738,.2444738,3,3
6,.4889475,.2444738,.2444738,3,3
7,.4889475,.2444738,.2444738,3,3
8,.4889475,.2444738,.2444738,3,3
1,.4889475,.2444738,.2444738,3,4
2,.4889475,.2444738,.2444738,3,4
3,.4889475,.2444738,.2444738,3,4
4,.4889475,.2444738,.2444738,3,4
5,.4889475,.2444738,.2444738,3,4
6,.4889475,.2444738,.2444738,3,4
7,.4889475,.2444738,.2444738,3,4
8,.4889475,.2444738,.2444738,3,4
1,.4889475,.2444738,.2444738,4,1
2,.4889475,.2444738,.2444738,4,1
3,.4889475,.2444738,.2444738,4,1
4,.4889475,.2444738,.2444738,4,1
5,.4889475,,,4,1
6,.4889475,,,4,1
7,.4889475,,,4,1
8,.4889475,,,4,1
1,.4889475,.2444738,.2444738,4,2
2,.4889475,.2444738,.2444738,4,2
3,.4889475,.2444738,.2444738,4,2
4,.4889475,.2444738,.2444738,4,2
5,.4889475,,,4,2
6,.4889475,,,4,2
7,.4889475,,,4,2
8,.4889475,,,4,2
1,.4889475,.2444738,.2444738,4,3
2,.4889475,.2444738,.2444738,4,3
3,.4889475,.2444738,.2444738,4,3
4,.4889475,.2444738,.2444738,4,3
5,.4889475,,,4,3
6,.4889475,,,4,3
7,.4889475,,,4,3
8,.4889475,,,4,3
1,.4889475,.2444738,.2444738,4,4
2,.4889475,.2444738,.2444738,4,4
3,.4889475,.2444738,.2444738,4,4
4,.4889475,.2444738,.2444738,4,4
5,.4889475,,,4,4
6,.4889475,,,4,4
7,.4889475,,,4,4
8,.4889475,,,4,4
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
